Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
KREDITBEE,LOAN_APP,KreditBee,Finnovation Tech Solutions Private Limited,KREDITBEE,DIGITAL_PAYMENT
MONEYVIEW,LOAN_APP,Moneyview,Whizdm Innovations Private Limited,MONEYVIEW,DIGITAL_PAYMENT
CASHE,LOAN_APP,CASHe,Bhanix Finance and Investment Limited,CASHE,DIGITAL_PAYMENT
FIBE,LOAN_APP,Fibe (formerly EarlySalary),EarlySalary Services Private Limited,"FIBE, EARLYSALARY",DIGITAL_PAYMENT
NAVI,LOAN_APP,Navi,Navi Finserv Limited,NAVI,DIGITAL_PAYMENT
LAZYPAY,LOAN_APP,LazyPay,PayU Finance (India) Private Limited,LAZYPAY,DIGITAL_PAYMENT
MPOKKET,LOAN_APP,mPokket,mPokket Financial Services Private Limited,"MPKKET, MPOKKET",DIGITAL_PAYMENT
BRANCH,LOAN_APP,Branch,Branch International Financial Services Private Limited,BRANCH,DIGITAL_PAYMENT
KISSHT,LOAN_APP,Kissht,ONEMi Technology Solutions Private Limited,KISSHT,DIGITAL_PAYMENT
SNAPMINT,LOAN_APP,Snapmint,,SNAPMINT,DIGITAL_PAYMENT
PAYSENSE,LOAN_APP,PaySense,PaySense Services India Private Limited,PAYSENSE,DIGITAL_PAYMENT
STASHFIN,LOAN_APP,StashFin,Akara Capital Advisors Private Limited,STASHFIN,DIGITAL_PAYMENT
