Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
BAJAJ_FINANCE,NBFC,Bajaj Finance,Bajaj Finance Limited,BAJAJ FINANCE,DIGITAL_PAYMENT
TATA_CAPITAL,NBFC,Tata Capital,Tata Capital Limited,TATA CAPITAL,DIGITAL_PAYMENT
LT_FINANCE,NBFC,L&T Finance,L&T Finance Limited,L&T FINANCE,DIGITAL_PAYMENT
SHRIRAM_FINANCE,NBFC,Shriram Finance,Shriram Finance Limited,SHRIRAM FINANCE,DIGITAL_PAYMENT
MUTHOOT,NBFC,Muthoot Finance,Muthoot Finance Limited,MUTHOOT,DIGITAL_PAYMENT
MANAPPURAM,NBFC,Manappuram Finance,Manappuram Finance Limited,MANAPPURAM,DIGITAL_PAYMENT
CHOLAMANDALAM,NBFC,Cholamandalam Finance,Cholamandalam Investment and Finance Company Limited,CHOLAMANDALAM,DIGITAL_PAYMENT
HDFC_CREDILA,NBFC,HDFC Credila,HDFC Credila Financial Services Limited,HDFC CREDILA,DIGITAL_PAYMENT
MAHINDRA_FINANCE,NBFC,Mahindra Finance,Mahindra & Mahindra Financial Services Limited,MAHINDRA FINANCE,DIGITAL_PAYMENT
PIRAMAL_FINANCE,NBFC,Piramal Finance,Piramal Capital and Housing Finance Limited,PIRAMAL FINANCE,DIGITAL_PAYMENT
