Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
NETFLIX,OTT,Netflix,"Netflix, Inc.",NETFLIX,DIGITAL_PAYMENT
PRIME_VIDEO,OTT,Amazon Prime Video,"Amazon.com, Inc.","PRIME VIDEO, AMAZON PRIME",DIGITAL_PAYMENT
JIOHOTSTAR,OTT,JioHotstar,JioStar India Private Limited,"HOTSTAR, JIOHOTSTAR, JIOCINEMA, DISNEY HOTSTAR",DIGITAL_PAYMENT
SPOTIFY,OTT,Spotify,Spotify AB,SPOTIFY,DIGITAL_PAYMENT
SONYLIV,OTT,SonyLIV,Culver Max Entertainment Private Limited,"SONYLIV, SONY LIV",DIGITAL_PAYMENT
YOUTUBE_PREMIUM,OTT,YouTube Premium,Google LLC,YOUTUBE PREMIUM,DIGITAL_PAYMENT
APPLE_TV,OTT,Apple TV+,Apple Inc.,"APPLE TV, APPLE TV PLUS",DIGITAL_PAYMENT
MXPLAYER,OTT,MX Player,Times Internet Limited,"MXPLAYER, MX PLAYER",DIGITAL_PAYMENT
ALTBALAJI,OTT,ALTBalaji,Balaji Telefilms Limited,ALTBALAJI,DIGITAL_PAYMENT
HUNGAMA,OTT,Hungama,Hungama Digital Media Entertainment Private Limited,HUNGAMA,DIGITAL_PAYMENT
