Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
RAZORPAY,PAYMENT_GATEWAY,Razorpay,Razorpay Software Private Limited,"RAZORPAY, RAZORPAYX, RAZORPAY SOFTWARE",DIGITAL_PAYMENT
CASHFREE,PAYMENT_GATEWAY,Cashfree,Cashfree Payments India Private Limited,CASHFREE,DIGITAL_PAYMENT
PAYU,PAYMENT_GATEWAY,PayU,PayU Payments Private Limited,"PAYU, PAYU PAYMENTS",DIGITAL_PAYMENT
PAYTM_PG,PAYMENT_GATEWAY,Paytm Payment Gateway,Paytm Payments Services Limited,"PAYTM PG, PAYTM PAYMENT GATEWAY",DIGITAL_PAYMENT
CCAVENUE,PAYMENT_GATEWAY,CCAvenue,Avenues India Private Limited,CCAVENUE,DIGITAL_PAYMENT
BILLDESK,PAYMENT_GATEWAY,BillDesk,,"BILLDESK, BILL DESK",DIGITAL_PAYMENT
JUSPAY,PAYMENT_GATEWAY,Juspay,Juspay Technologies Private Limited,JUSPAY,DIGITAL_PAYMENT
EASEBUZZ,PAYMENT_GATEWAY,Easebuzz,Easebuzz Private Limited,EASEBUZZ,DIGITAL_PAYMENT
AIRPAY,PAYMENT_GATEWAY,Airpay,Airpay Payment Services Private Limited,AIRPAY,DIGITAL_PAYMENT
PINE_LABS,PAYMENT_GATEWAY,Pine Labs,Pine Labs Private Limited,PINELABS,DIGITAL_PAYMENT
ATOM_TECH,PAYMENT_GATEWAY,Atom Technologies,Atom Technologies Private Limited,ATOMTECH,DIGITAL_PAYMENT
OPEN,PAYMENT_GATEWAY,Open,Open Financial Technologies Private Limited,"OPEN MONEY, OPEN FINANCIAL",DIGITAL_PAYMENT
