Store,Category,Trade Name,Legal Name,Narration Variants,Risk Type
ZERODHA,STOCK_BROKING,Zerodha,Zerodha Broking Limited,ZERODHA,DIGITAL_PAYMENT
GROWW,STOCK_BROKING,Groww,Billionbrains Garage Ventures Limited,GROWW,DIGITAL_PAYMENT
UPSTOX,STOCK_BROKING,Upstox,RKSV Securities India Private Limited,UPSTOX,DIGITAL_PAYMENT
ANGEL_ONE,STOCK_BROKING,Angel One,Angel One Limited,"ANGEL ONE, ANGEL BROKING",DIGITAL_PAYMENT
5PAISA,STOCK_BROKING,5paisa,5paisa Capital Limited,5PAISA,DIGITAL_PAYMENT
PAYTM_MONEY,STOCK_BROKING,Paytm Money,Paytm Money Limited,PAYTM MONEY,DIGITAL_PAYMENT
ICICI_DIRECT,STOCK_BROKING,ICICI Direct,ICICI Securities Limited,ICICI DIRECT,DIGITAL_PAYMENT
HDFC_SECURITIES,STOCK_BROKING,HDFC Securities,HDFC Securities Limited,HDFC SECURITIES,DIGITAL_PAYMENT
KOTAK_SECURITIES,STOCK_BROKING,Kotak Securities,Kotak Securities Limited,KOTAK SECURITIES,DIGITAL_PAYMENT
MOTILAL_OSWAL,STOCK_BROKING,Motilal Oswal,Motilal Oswal Financial Services Limited,MOTILAL OSWAL,DIGITAL_PAYMENT
SHAREKHAN,STOCK_BROKING,Sharekhan,Sharekhan Limited,SHAREKHAN,DIGITAL_PAYMENT
DHAN,STOCK_BROKING,Dhan,Raise Financial Services Private Limited,DHAN,DIGITAL_PAYMENT
