#,CATEGORY,SAMPLE_COUNT,RISK_LEVEL,TXN_MODES,keywords
1,UPI_APP,20,LOW,UPI,
2,PAYMENT_GATEWAY,20,MEDIUM,NEFT/API,
3,AEPS,16,HIGH,AEPS/AADHAAR,
4,ATM,16,LOW,ATM,
5,MERCHANT_POS,16,LOW,POS,
6,ECOMMERCE,18,LOW,UPI/NEFT,
7,FOOD_DELIVERY,16,LOW,UPI,
8,MOBILITY,16,LOW,UPI,
9,LOAN_APP,18,HIGH,NEFT/IMPS,
10,NBFC,16,LOW,NEFT/NACH,
11,SALARY,16,LOW,NEFT,
12,CHEQUE,16,LOW,CTS/CHQ,
13,AUTO_DEBIT,16,LOW,NACH/ECS,
14,GOVERNMENT_PAYMENT,16,LOW,NEFT/OLTAS,
15,GST,16,LOW,NEFT/GSTN,
16,BROKER,16,LOW,UPI/NEFT,
17,MUTUAL_FUND,16,LOW,NACH/NEFT,
18,INSURANCE,16,LOW,NACH/NEFT,
19,CRYPTO,16,HIGH,UPI/NEFT,
20,CRYPTO_P2P,16,HIGH,UPI/IMPS,
21,BETTING,16,HIGH,UPI/IMPS,
22,CASH_DEPOSIT,16,LOW,CDM/BRANCH,
23,FOREIGN_REMITTANCE,16,MEDIUM,SWIFT/WIRE,
24,WALLET,16,MEDIUM,UPI/NEFT,
25,HIGH_RISK,16,HIGH,UPI/IMPS/CASH,
26,RECHARGE,16,LOW,UPI,
27,FASTAG,16,LOW,UPI/NEFT,
28,UTILITY,16,LOW,BBPS/UPI,
29,BILL_PAYMENT,16,LOW,BBPS,
30,EDUCATION,16,LOW,NEFT/UPI,
31,PG_SETTLEMENT,16,MEDIUM,NEFT,
32,PAYOUT,16,MEDIUM,NEFT/IMPS,
33,ECOMMERCE_SETTLEMENT,16,MEDIUM,NEFT,
34,SUBSCRIPTION,16,LOW,UPI/CARD,
35,CREDIT_CARD,16,LOW,NEFT/UPI,
36,CARD_SETTLEMENT,16,LOW,VISA/NPCI,
37,WALLET_LOAD,16,LOW,UPI/NEFT,
38,ESCROW,16,LOW,NEFT/RTGS,
39,GIG_ECONOMY,16,MEDIUM,NEFT/IMPS,
40,REFUND,16,LOW,UPI/NEFT,
41,CASHBACK,16,LOW,UPI/NEFT,
42,INTEREST,16,LOW,INTERNAL,
43,FD,16,LOW,INTERNAL,
44,RD,16,LOW,INTERNAL/NACH,
45,DEMAT,16,LOW,NEFT,
46,DIVIDEND,16,LOW,NEFT/ECS,
47,RENT,16,LOW,NEFT/UPI,
48,REAL_ESTATE,16,LOW,NEFT/RTGS,
49,TRAVEL,16,LOW,UPI/NEFT,
50,HEALTHCARE,16,LOW,UPI/NEFT,
51,DONATION,16,LOW,NEFT/UPI,
52,GOVERNMENT_BENEFIT,16,LOW,DBT/NEFT,
53,SELF_TRANSFER,16,LOW,NEFT/IMPS,
54,FAILED_TRANSACTION,16,LOW,RETURN/REVERSAL,
,TOTAL,876,,,
