#,CATEGORY,NARRATION_RAW,BANK_FORMAT,TXN_TYPE,RISK_LEVEL
1,UPI_APP,UPI/622610723647/GPAY/9103951815/GOOGLEPAY,UPI,DR/CR,LOW
2,UPI_APP,UPI/113979915586/GOOGLEPAY/PAY/9188396552,UPI,DR/CR,LOW
3,UPI_APP,UPI-CR-GPAY-8586161894-005599402,MIXED,CR,LOW
4,UPI_APP,UPI/330448726220/PHONEPE/9052129558/PHONEPE,UPI,DR/CR,LOW
5,UPI_APP,UPI/PHONEPE/356931330240/rahulsharma@okhdfcbank,UPI,DR/CR,LOW
6,UPI_APP,PHONEPE UPI/088057593551/P2A/8600987804,UPI,DR/CR,LOW
7,UPI_APP,UPI/598732224487/PAYTM/9039844191/PAYTMUPI,UPI,DR/CR,LOW
8,UPI_APP,UPI-DR-PAYTM-9782591334-663340860,MIXED,DR/CR,LOW
9,UPI_APP,PAYTM UPI TXN 767415778989 amitverma@ibl,MIXED,DR/CR,LOW
10,UPI_APP,UPI/011355024247/BHIMUPI/sunitadevi@axl/NPCI,UPI,DR/CR,LOW
11,UPI_APP,BHIM UPI CR 203979069286 8721061011,MIXED,CR,LOW
12,UPI_APP,UPI/236479074325/AMAZONPAY/9640846360/AMAZON,UPI,DR/CR,LOW
13,UPI_APP,AMAZON PAY UPI 703570326703,MIXED,DR/CR,LOW
14,UPI_APP,UPI/336463964302/CRED/rohitmehta@okaxis/CRED,UPI,CR,LOW
15,UPI_APP,CRED UPI 280615227428 9856458471,MIXED,CR,LOW
16,UPI_APP,UPI/618668158611/SLICE/8645600500/SLICEPAY,UPI,DR/CR,LOW
17,UPI_APP,UPI-CR-JUPITER-9863853434-654787294,MIXED,CR,LOW
18,UPI_APP,UPI/395782920198/FIMONEY/priyanair@okaxis/FI,UPI,DR/CR,LOW
19,UPI_APP,WHATSAPP PAY UPI 608055584344 9617858582,MIXED,DR/CR,LOW
20,UPI_APP,UPI/701279706479/MOBIKWIK/8713295858/MOBIKWIK,UPI,DR/CR,LOW
21,PAYMENT_GATEWAY,RAZORPAY/720315185596/PG/SETTLE,MIXED,CR,MEDIUM
22,PAYMENT_GATEWAY,RAZORPAYX COLLECT 404213803021 XX5333,MIXED,DR/CR,MEDIUM
23,PAYMENT_GATEWAY,NEFT/437138209274/RAZORPAY SOFTWARE PVT/MERCHANT,NEFT,DR/CR,MEDIUM
24,PAYMENT_GATEWAY,CASHFREE/755768562178/PG CREDIT,MIXED,CR,MEDIUM
25,PAYMENT_GATEWAY,CASHFREE PAYMENTS 917531183550,MIXED,DR/CR,MEDIUM
26,PAYMENT_GATEWAY,PAYU/583586787587/PG TXN/XX1426,MIXED,DR/CR,MEDIUM
27,PAYMENT_GATEWAY,PAYU PAYMENTS INDIA 797233235196,MIXED,DR/CR,MEDIUM
28,PAYMENT_GATEWAY,CCAVENUE/467543780450/PAYMENT,MIXED,DR/CR,MEDIUM
29,PAYMENT_GATEWAY,CCAVENUE PG 542598994055 MERCHANT,MIXED,DR/CR,MEDIUM
30,PAYMENT_GATEWAY,BILLDESK/184643012628/COLLECT,MIXED,DR/CR,MEDIUM
31,PAYMENT_GATEWAY,BILL DESK 141259077664 ONLINE PMT,MIXED,DR/CR,MEDIUM
32,PAYMENT_GATEWAY,JUSPAY/977906609506/PG/CREDIT,MIXED,CR,MEDIUM
33,PAYMENT_GATEWAY,EASEBUZZ/657704190688/PG SETTLE,MIXED,CR,MEDIUM
34,PAYMENT_GATEWAY,PINELABS PG 869094673945,MIXED,DR/CR,MEDIUM
35,PAYMENT_GATEWAY,ATOMTECH/779392173175/PAYMENT GATEWAY,MIXED,DR/CR,MEDIUM
36,PAYMENT_GATEWAY,OPEN FINANCIAL 762426246173 PG,MIXED,DR/CR,MEDIUM
37,PAYMENT_GATEWAY,AIRPAY/086161028838/COLLECT/XX7767,MIXED,DR/CR,MEDIUM
38,PAYMENT_GATEWAY,PAYTM PG CREDIT 544468249597,MIXED,CR,MEDIUM
